specification,model,term,estimate,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,controls,p_value
M1 unadjusted,unweighted_logit,under_remote_planned,0.8532782914082125,0.7875079806890602,0.9190486021273648,2.347329482168711,2.1979123558548017,2.506904191689447,37434,under/over remote misfit + no additional controls,
M1 unadjusted,unweighted_logit,over_remote_planned,0.3482545125709429,0.19957692126863733,0.4969321038732485,1.4165927445242383,1.2208861179282178,1.643670916042556,37434,under/over remote misfit + no additional controls,
M1 unadjusted,unweighted_logit,under_minus_over,0.5050237788372696,0.35395706834393903,0.6560904893306001,,,,37434,Wald contrast: under-remote minus over-remote; no additional controls,5.66726222173203e-11
M1 unadjusted,unweighted_lpm,under_remote_planned,0.09909569969346492,0.09061295491266735,0.10757844447426249,,,,37434,under/over remote misfit + no additional controls,
M1 unadjusted,unweighted_lpm,over_remote_planned,0.03313504996467187,0.017273376279890153,0.04899672364945359,,,,37434,under/over remote misfit + no additional controls,
M1 unadjusted,unweighted_lpm,under_minus_over,0.06596064972879305,0.04867041974486965,0.08325087971271644,,,,37434,Wald contrast: under-remote minus over-remote; no additional controls,7.598998389077481e-14
M1 unadjusted,weighted_lpm,under_remote_planned,0.10606574774362451,0.09283974347607109,0.11929175201117793,,,,37434,under/over remote misfit + no additional controls,
M1 unadjusted,weighted_lpm,over_remote_planned,0.024747438008842985,-0.0012875472304855265,0.0507824232481715,,,,37434,under/over remote misfit + no additional controls,
M1 unadjusted,weighted_lpm,under_minus_over,0.08131830973478152,0.05339938794578897,0.10923723152377407,,,,37434,Wald contrast: under-remote minus over-remote; no additional controls,1.1383732950773036e-08
M2 demographics family commute,unweighted_logit,under_remote_planned,0.8875721191194414,0.7846725130863255,0.9904717251525574,2.4292246178274013,2.191689073703121,2.6925042948213513,15434,"under/over remote misfit + age_quant, female_binary, commutetime_quant, has_children_any",
M2 demographics family commute,unweighted_logit,over_remote_planned,0.39327391693449754,0.15260286255810696,0.6339449713108881,1.4818242304940241,1.1648622766459111,1.8850323288017983,15434,"under/over remote misfit + age_quant, female_binary, commutetime_quant, has_children_any",
M2 demographics family commute,unweighted_logit,under_minus_over,0.4942982021849439,0.25089240574605554,0.7377039986238323,,,,15434,"Wald contrast: under-remote minus over-remote; age_quant, female_binary, commutetime_quant, has_children_any",6.885383394625422e-05
M2 demographics family commute,unweighted_lpm,under_remote_planned,0.10368190961597733,0.09057731929242578,0.11678649993952887,,,,15434,"under/over remote misfit + age_quant, female_binary, commutetime_quant, has_children_any",
M2 demographics family commute,unweighted_lpm,over_remote_planned,0.03706896275456856,0.011402468990078875,0.06273545651905824,,,,15434,"under/over remote misfit + age_quant, female_binary, commutetime_quant, has_children_any",
M2 demographics family commute,unweighted_lpm,under_minus_over,0.06661294686140877,0.03891381397780551,0.09431207974501203,,,,15434,"Wald contrast: under-remote minus over-remote; age_quant, female_binary, commutetime_quant, has_children_any",2.4353597305483804e-06
M2 demographics family commute,weighted_lpm,under_remote_planned,0.11577471845953163,0.09577634054659939,0.13577309637246388,,,,15434,"under/over remote misfit + age_quant, female_binary, commutetime_quant, has_children_any",
M2 demographics family commute,weighted_lpm,over_remote_planned,0.04103304453809887,-0.0040132112427709934,0.08607930031896874,,,,15434,"under/over remote misfit + age_quant, female_binary, commutetime_quant, has_children_any",
