group,value,model,n,events,selection_at_10,precision_at_10,recall_at_10,fnr_at_10,brier,ece
gender_group,female,raw_gender_children_excluded_rf,4174,538,0.12338284619070436,0.2543689320388349,0.24349442379182157,0.7565055762081785,0.23302437869812637,0.34639802865708463
gender_group,not_coded_female,raw_gender_children_excluded_rf,5079,566,0.08092144122858831,0.24574209245742093,0.1784452296819788,0.8215547703180213,0.20253691207993202,0.3172997530449113
has_children_any,0.0,raw_gender_children_excluded_rf,4766,617,0.12043642467477969,0.24041811846689895,0.22366288492706646,0.7763371150729336,0.2317799929066255,0.34403521938185266
has_children_any,1.0,raw_gender_children_excluded_rf,4487,487,0.07844885223980388,0.26704545454545453,0.19301848049281314,0.8069815195071869,0.19983625739847938,0.3159703502910332
income_group_traincut,high,raw_gender_children_excluded_rf,2183,153,0.007329363261566651,0.3125,0.032679738562091505,0.9673202614379085,0.14102016105022439,0.2676936800330213
income_group_traincut,low,raw_gender_children_excluded_rf,3443,548,0.200697066511763,0.25470332850940663,0.32116788321167883,0.6788321167883211,0.27313936932738175,0.3757352786930418
income_group_traincut,middle,raw_gender_children_excluded_rf,3627,403,0.060380479735318446,0.2328767123287671,0.12655086848635236,0.8734491315136477,0.20762692941084615,0.32517202902606773
education_s,1.0,raw_gender_children_excluded_rf,113,25,0.21238938053097345,0.375,0.36,0.64,0.2587516357035701,0.3136547713617196
education_s,2.0,raw_gender_children_excluded_rf,2060,275,0.13883495145631067,0.22727272727272727,0.23636363636363636,0.7636363636363637,0.2538589789609261,0.3702411433863452
education_s,3.0,raw_gender_children_excluded_rf,2361,320,0.156289707750953,0.25474254742547425,0.29375,0.70625,0.24895041844543372,0.3644655967240226
education_s,4.0,raw_gender_children_excluded_rf,2745,303,0.0692167577413479,0.23684210526315788,0.1485148514851485,0.8514851485148515,0.2067416890272633,0.32773422755232645
education_s,5.0,raw_gender_children_excluded_rf,1974,181,0.028875379939209727,0.3333333333333333,0.10497237569060773,0.8950276243093923,0.1488664778705351,0.2528659292266854
gender_children,female_children,raw_gender_children_excluded_rf,1961,241,0.11422743498215196,0.23214285714285715,0.2157676348547718,0.7842323651452282,0.2286447247390747,0.34414854018814084
gender_children,female_no_children,raw_gender_children_excluded_rf,2213,297,0.13149570718481698,0.27147766323024053,0.265993265993266,0.734006734006734,0.23690531020002445,0.3484059929128174
gender_children,not_coded_female_children,raw_gender_children_excluded_rf,2526,246,0.050673000791765635,0.328125,0.17073170731707318,0.8292682926829268,0.1774714892057211,0.2940948829956143
gender_children,not_coded_female_no_children,raw_gender_children_excluded_rf,2553,320,0.11084998041519781,0.20848056537102475,0.184375,0.815625,0.22733724822574355,0.3402592131876941
gender_group,female,platt_gender_children_excluded_rf,4174,538,0.12434115955917585,0.27167630057803466,0.2620817843866171,0.7379182156133829,0.10898166948168897,0.00985039297198132
gender_group,not_coded_female,platt_gender_children_excluded_rf,5079,566,0.08013388462295727,0.2334152334152334,0.16784452296819788,0.8321554770318021,0.09624938037434438,0.009132162437651309
has_children_any,0.0,platt_gender_children_excluded_rf,4766,617,0.11791859001258917,0.24199288256227758,0.22042139384116693,0.779578606158833,0.10972003078898059,0.005995038418036313
has_children_any,1.0,platt_gender_children_excluded_rf,4487,487,0.0811232449297972,0.27472527472527475,0.2053388090349076,0.7946611909650925,0.09378525174895998,0.014006776528168225
income_group_traincut,high,platt_gender_children_excluded_rf,2183,153,0.010994044892349977,0.20833333333333334,0.032679738562091505,0.9673202614379085,0.064374970673597,0.026265063159467705
income_group_traincut,low,platt_gender_children_excluded_rf,3443,548,0.19314551263433052,0.26015037593984963,0.3156934306569343,0.6843065693430657,0.1309062638867098,0.012697603920804715
income_group_traincut,middle,platt_gender_children_excluded_rf,3627,403,0.065343258891646,0.24472573839662448,0.14392059553349876,0.8560794044665012,0.09718755549916204,0.0075883949829780965
education_s,1.0,platt_gender_children_excluded_rf,113,25,0.19469026548672566,0.36363636363636365,0.32,0.6799999999999999,0.1703352702409592,0.08692766421456849
education_s,2.0,platt_gender_children_excluded_rf,2060,275,0.129126213592233,0.22556390977443608,0.21818181818181817,0.7818181818181819,0.11381367933793839,0.006867437439067113
