analysis,remoteability_source,remoteability_group,term,estimate,ci_low,ci_high,n
interaction,occupation_remoteability_proxy,continuous,under_remote_planned,0.1287887023933761,0.019666029151600137,0.23791137563515202,15355
interaction,occupation_remoteability_proxy,continuous,over_remote_planned,0.03346890121794573,-0.012347920619826203,0.07928572305571767,15355
interaction,occupation_remoteability_proxy,continuous,remoteable_scaled,0.025201001896455476,0.015251363593082217,0.035150640199828734,15355
interaction,occupation_remoteability_proxy,continuous,under_x_remoteable,-0.8689751580134386,-7.541502168787605,5.8035518527607275,15355
stratified,occupation_remoteability_proxy,low,under_remote_planned,0.10863402422929538,0.07603639993462957,0.1412316485239612,5118
stratified,occupation_remoteability_proxy,low,over_remote_planned,0.026352601945372783,-0.04989528666288892,0.10260049055363449,5118
stratified,occupation_remoteability_proxy,middle,under_remote_planned,0.14105753299079446,0.10816991311391744,0.17394515286767148,5118
stratified,occupation_remoteability_proxy,middle,over_remote_planned,0.06586639143695988,-0.008317406661414492,0.14005018953533427,5118
stratified,occupation_remoteability_proxy,high,under_remote_planned,0.09044912029178247,0.052590531951215484,0.12830770863234944,5119
stratified,occupation_remoteability_proxy,high,over_remote_planned,0.030146717597151988,-0.06013291255647993,0.1204263477507839,5119
