desired_bin,planned_bin,n
0.0,0.0,3767
0.0,1.0,113
0.0,2.0,90
0.0,2.5,22
0.0,2.75,69
0.0,3.0,51
0.0,4.0,31
0.0,5.0,106
1.0,0.0,720
1.0,1.0,435
1.0,2.0,166
1.0,2.5,23
1.0,2.75,55
1.0,3.0,58
1.0,4.0,34
1.0,5.0,38
2.0,0.0,1104
2.0,1.0,228
2.0,2.0,730
2.0,2.5,51
2.0,2.75,135
2.0,3.0,261
2.0,4.0,103
2.0,5.0,59
3.0,0.0,734
3.0,1.0,92
3.0,2.0,380
3.0,2.5,50
3.0,2.75,118
3.0,3.0,620
3.0,4.0,208
3.0,5.0,70
4.0,0.0,263
4.0,1.0,29
4.0,2.0,96
4.0,2.5,19
4.0,2.75,59
4.0,3.0,164
4.0,4.0,412
4.0,5.0,143
5.0,0.0,1531
5.0,1.0,75
5.0,2.0,171
5.0,2.5,52
5.0,2.75,198
5.0,3.0,176
5.0,4.0,182
5.0,5.0,1064
