k,group,value,n,events,prevalence,selection_rate,precision_at_k,precision_ci_low,precision_ci_high,recall_at_k,recall_ci_low,recall_ci_high,fnr_at_k,fnr_ci_low,fnr_ci_high,roc_auc,pr_auc
0.05,gender_group,female,4174,538,0.12889314805941543,0.06780067081935794,0.303886925795053,0.25218800160513644,0.3579782988545419,0.15985130111524162,0.13250808261046235,0.1929732630757221,0.8401486988847584,0.807026736924278,0.8674919173895377,0.6426168406803506,0.22039486623500004
0.05,gender_group,not_coded_female,5079,566,0.11143925969679071,0.03544004725339634,0.2611111111111111,0.20216938234179613,0.33249999999999996,0.08303886925795052,0.06216805743035955,0.10561041292639137,0.9169611307420494,0.8943895870736086,0.9378319425696404,0.6554723339484911,0.19006116977034698
0.05,female_binary,0.0,5079,566,0.11143925969679071,0.03544004725339634,0.2611111111111111,0.19833723262032085,0.3251727089778632,0.08303886925795052,0.06118907066959015,0.10519179776216124,0.9169611307420494,0.8948082022378387,0.9388109293304099,0.6554723339484911,0.19006116977034698
0.05,female_binary,1.0,4174,538,0.12889314805941543,0.06780067081935794,0.303886925795053,0.247706315381635,0.3625086277841195,0.15985130111524162,0.13216212577537548,0.18955075058099366,0.8401486988847584,0.8104492494190063,0.8678378742246246,0.6426168406803506,0.22039486623500004
0.05,has_children_any,0.0,4766,617,0.12945866554762903,0.062316407889215275,0.26936026936026936,0.22202906548933038,0.32375574712643673,0.12965964343598055,0.1088,0.15545307443365694,0.8703403565640194,0.844546925566343,0.8912,0.641221664785758,0.20665144041242117
0.05,has_children_any,1.0,4487,487,0.10853577000222867,0.03699576554490751,0.3192771084337349,0.25219826675121537,0.3946864111498257,0.10882956878850103,0.08283238928137936,0.13724184782608695,0.891170431211499,0.862758152173913,0.9171676107186206,0.6577366529774128,0.20258202236381706
0.05,income_group_traincut,high,2183,153,0.0700870361887311,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.653213239318716,0.13944089652318992
0.05,income_group_traincut,low,3443,548,0.1591635201858844,0.1199535288992158,0.2929782082324455,0.2484841735667121,0.3398537110905335,0.2208029197080292,0.18762606078547464,0.25140283169513855,0.7791970802919708,0.7485971683048614,0.8123739392145254,0.6229904945602158,0.2380481090541396
0.05,income_group_traincut,middle,3627,403,0.1111111111111111,0.013785497656465398,0.24,0.12366071428571429,0.3617021276595745,0.02977667493796526,0.014978678038379531,0.047505938242280284,0.9702233250620348,0.9524940617577197,0.9850213219616204,0.5979690934615692,0.17101144187158043
0.05,education_s,1.0,113,25,0.22123893805309736,0.1415929203539823,0.5,0.2727272727272727,0.75,0.32,0.15789473684210525,0.5,0.6799999999999999,0.5,0.8421052631578947,0.625909090909091,0.3986214687975371
